SGD_ID	Gene_ID	FermDensityFC	RespDensityFC	CLS	MeanRLS	MaxRLS
YBL095W	MRX3	0.934707614	1.38977109	31	25.8	37
YPL168W	MRX4	1.005279271	1.196301608	37	28.4	38
YDR493W	MZM1	NA	NA	36	NA	NA
YGL221C	NIF3	0.893324534	1.079155299	20	22	25
YDR150W	NUM1	0.989385421	0.789571635	30	8.8	11
YKL134C	OCT1	NA	NA	32	NA	NA
YBR230C	OM14	NA	NA	45	NA	NA
YIL136W	OM45	NA	NA	38	NA	NA
YGR132C	PHB1	1.072254295	1.108518706	36	14.53	38
YGR231C	PHB2	1.116718477	1.162161476	41	14.105	41
YBR093C	PHO5	1.098184854	1.071988651	26	27.2	45
YGR086C	PIL1	0.931253588	0.910556572	34	29.267	51
YMR006C	PLB2	1.014223395	1.032982264	36	22.6	33
YNL055C	POR1	0.364688335	0.421971845	40	12.448	43
YOR090C	PTC5	1.242878214	1.209122097	33	28	47
YCR079W	PTC6	0.923843272	0.90754602	33	24.544	43
YHR076W	PTC7	0.917668402	0.906812259	42	24	36
YHR189W	PTH1	0.855395479	0.545029109	39	22.2	33
YJR091C	PUF1	0.949977796	0.948206981	38	22.4	35
YPR042C	PUF2	0.905513614	0.839071692	34	20.8	24
YLL013C	PUF3	0.783237115	0.871134037	44	23.659	40
YDR529C	QCR7	1.140640531	0.482383887	24	15.52	31
YBR005W	RCR1	1.125921031	1.030944664	39	28.68	56
YOR285W	RDL1	1.495448276	1.004818149	31	23.8	26
YOR286W	RDL2	NA	NA	37	NA	NA
YEL024W	RIP1	0.734496617	0.420294781	10	22.991	55
YBR024W	SCO2	1.002639635	0.876875915	40	28.667	51
YKL148C	SDH1	0.964441511	0.664587144	12	32.754	55
YDR393W	SHE9	0.229566077	0.442655638	42	19.4	27
YGR112W	SHY1	0.775630992	0.446522389	14	28.586	55
YHR008C	SOD2	0.717843616	0.91572517	38	25.827	71
YLR369W	SSQ1	0.10837538	0.528751215	9	17.86	36
YML052W	SUR7	0.898065666	0.890990822	39	20.6	26
YLR251W	SYM1	1.327138096	1.338647017	49	21.4	25
YPR140W	TAZ1	1.154086785	1.262181049	33	21.8	31
YGR181W	TIM13	1.105585416	0.993611486	38	21.2	31
YNL121C	TOM70	0.525886817	0.534335152	43	16.565	32
YJR066W	TOR1	1.076956862	1.010316988	51	31.554	75
YLR168C	UPS2	NA	NA	52	NA	NA
YDR185C	UPS3	0.969766947	1.173454364	45	29	35
YDL077C	VPS39	0.758135577	0.474478415	40	16	22
YBR242W	YBR242W	0.949977796	0.98273566	50	27.65	42
YDL157C	YDL157C	0.853092131	0.468673531	40	32.4	58
YDR109C	YDR109C	1.162159102	0.957442424	39	30.84	55
YDR282C	YDR282C	1.101692996	0.965180165	24	31.578	58
YFR045W	YFR045W	0.995336258	0.968396939	45	22.4	32
YGR015C	YGR015C	1.130381125	0.922221315	27	21.4	25
YMR241W	YHM2	1	1.0469578	40	34.6	40
YJL045W	YJL045W	1.1043049	0.916146786	42	24.44	37
YJR120W	YJR120W	1.002331871	0.55558195	48	19.2	28
YKR018C	YKR018C	1.154086785	1.233336054	31	26.4	30
YKR070W	YKR070W	1.253650553	1.303543363	36	24.8	32
YHL014C	YLF2	1.163569048	1.523113278	42	21.2	31
YPR125W	YLH47	1.292999529	1.347883619	44	31.12	54
YLR253W	YLR253W	1.150255166	0.944967869	42	18	45
YPR058W	YMC1	1.023756719	0.915206998	31	18.2	28
YPR024W	YME1	0.609333962	0.820540838	30	15.237	47
YMR302C	YME2	1.013198177	1.089439194	40	20.4	26
YKL067W	YNK1	1.052801216	0.974720074	40	23	30
YNL200C	YNL200C	1.172298704	1.123316711	44	17.6	26
YPL109C	YPL109C	0.771529816	0.858383984	39	26.908	56
YPR011C	YPR011C	1.13198177	0.959926595	32	25.924	58
YPR098C	YPR098C	1.277356212	1.181713034	31	18.4	28
YMR089C	YTA12	0.757153544	0.415160594	24	21.046	49
